entry,at,order
"""Dan @ ZB3s47J263"" folds",2020-12-05T07:32:43.678Z,160715356367900
"""Linan @ PKTux6PUMb"" posts a big blind of 20",2020-12-05T07:07:11.738Z,160715203174009
"""Jen @ XqgTOswofW"" posts a small blind of 10",2020-12-05T07:07:11.738Z,160715203174008
"Your hand is 3♣, 6♦",2020-12-05T07:07:11.738Z,160715203174006
"Player stacks: #1 ""Tim @ OuRDJHZx-C"" (3193) | #2 ""joe @ To7KZmMlPh"" (1969) | #4 ""CreamPuff @ owJOiR5UW9"" (964) | #6 ""Jen @ XqgTOswofW"" (5990) | #7 ""Linan @ PKTux6PUMb"" (3005) | #8 ""Dan @ ZB3s47J263"" (2761)",2020-12-05T07:07:11.738Z,160715203174001
"-- starting hand #144  (No Limit Texas Hold'em) (dealer: ""CreamPuff @ owJOiR5UW9"") --",2020-12-05T07:07:11.738Z,160715203174000
"""joe @ To7KZmMlPh"" shows a 4♣, 10♥.",2020-12-05T07:07:10.630Z,160715203063000
"-- ending hand #143 --",2020-12-05T07:07:05.199Z,160715202520001
"""CreamPuff @ owJOiR5UW9"" collected 964 from pot with Two Pair, K's & J's (combination: K♥, K♣, J♠, J♥, 9♠)",2020-12-05T07:07:05.199Z,160715202520000
"river: K♥, 3♥, K♣, 2♥ [9♠]",2020-12-05T07:07:02.178Z,160715202218000
"turn: K♥, 3♥, K♣ [2♥]",2020-12-05T07:06:59.163Z,160715201916500
"""Dan @ ZB3s47J263"" shows a A♥, 3♣.",2020-12-05T07:06:56.144Z,160715201614501
"""CreamPuff @ owJOiR5UW9"" shows a J♠, J♥.",2020-12-05T07:06:56.144Z,160715201614500
"""Tim @ OuRDJHZx-C"" folds",2020-12-05T07:06:55.338Z,160715201533900
"""Dan @ ZB3s47J263"" calls 272",2020-12-05T07:06:52.513Z,160715201251400
"""Linan @ PKTux6PUMb"" folds",2020-12-05T07:06:48.910Z,160715200891000
"""Jen @ XqgTOswofW"" folds",2020-12-05T07:06:48.070Z,160715200807100
"""CreamPuff @ owJOiR5UW9"" bets 272 and go all in",2020-12-05T07:06:46.730Z,160715200673100
"flop:  [K♥, 3♥, K♣]",2020-12-05T07:06:42.256Z,160715200225700
"""joe @ To7KZmMlPh"" folds",2020-12-05T07:06:41.449Z,160715200145000
"""Tim @ OuRDJHZx-C"" calls 80",2020-12-05T07:06:40.212Z,160715200021300
"""Dan @ ZB3s47J263"" calls 80",2020-12-05T07:06:39.114Z,160715199911400
"""Linan @ PKTux6PUMb"" calls 80",2020-12-05T07:06:38.222Z,160715199822200
"""Jen @ XqgTOswofW"" calls 80",2020-12-05T07:06:37.376Z,160715199737600
"""CreamPuff @ owJOiR5UW9"" raises to 80",2020-12-05T07:06:31.940Z,160715199194100
"""joe @ To7KZmMlPh"" calls 20",2020-12-05T07:06:28.993Z,160715198899400
"""Tim @ OuRDJHZx-C"" calls 20",2020-12-05T07:06:26.995Z,160715198699500
"""Dan @ ZB3s47J263"" calls 20",2020-12-05T07:06:24.704Z,160715198470500
"""Linan @ PKTux6PUMb"" calls 20",2020-12-05T07:06:23.803Z,160715198380300
"""Jen @ XqgTOswofW"" posts a big blind of 20",2020-12-05T07:06:20.947Z,160715198094809
"""CreamPuff @ owJOiR5UW9"" posts a small blind of 10",2020-12-05T07:06:20.947Z,160715198094808
"Your hand is Q♦, 4♥",2020-12-05T07:06:20.947Z,160715198094806
"Player stacks: #1 ""Tim @ OuRDJHZx-C"" (3273) | #2 ""joe @ To7KZmMlPh"" (1989) | #4 ""CreamPuff @ owJOiR5UW9"" (352) | #6 ""Jen @ XqgTOswofW"" (6070) | #7 ""Linan @ PKTux6PUMb"" (3085) | #8 ""Dan @ ZB3s47J263"" (3113)",2020-12-05T07:06:20.947Z,160715198094801
"-- starting hand #143  (No Limit Texas Hold'em) (dealer: ""joe @ To7KZmMlPh"") --",2020-12-05T07:06:20.947Z,160715198094800
"""joe @ To7KZmMlPh"" shows a 8♠, 5♣.",2020-12-05T07:06:17.425Z,160715197742600
"-- ending hand #142 --",2020-12-05T07:06:13.412Z,160715197341403
"""Linan @ PKTux6PUMb"" shows a 8♣, 2♠.",2020-12-05T07:06:13.412Z,160715197341302
"""Dan @ ZB3s47J263"" collected 300 from pot with Pair, K's (combination: K♣, K♠, Q♦, J♦, 10♥)",2020-12-05T07:06:13.412Z,160715197341301
"""Dan @ ZB3s47J263"" shows a K♣, J♦.",2020-12-05T07:06:13.412Z,160715197341300
"""Dan @ ZB3s47J263"" checks",2020-12-05T07:06:12.605Z,160715197260600
"""Linan @ PKTux6PUMb"" checks",2020-12-05T07:06:05.470Z,160715196547100
"river: Q♦, K♠, 10♥, 2♣ [4♥]",2020-12-05T07:06:04.116Z,160715196411900
"""CreamPuff @ owJOiR5UW9"" folds",2020-12-05T07:06:03.311Z,160715196331200
"""Tim @ OuRDJHZx-C"" folds",2020-12-05T07:06:02.378Z,160715196237900
"""Dan @ ZB3s47J263"" calls 90",2020-12-05T07:06:01.042Z,160715196104300
"""Linan @ PKTux6PUMb"" bets 90",2020-12-05T07:05:59.591Z,160715195959200
"""Jen @ XqgTOswofW"" folds",2020-12-05T07:05:57.381Z,160715195738200
"""CreamPuff @ owJOiR5UW9"" checks",2020-12-05T07:05:55.072Z,160715195507300
"turn: Q♦, K♠, 10♥ [2♣]",2020-12-05T07:05:53.158Z,160715195315900
"""Tim @ OuRDJHZx-C"" checks",2020-12-05T07:05:52.352Z,160715195235300
"""Dan @ ZB3s47J263"" checks",2020-12-05T07:05:50.386Z,160715195038700
"""Linan @ PKTux6PUMb"" checks",2020-12-05T07:05:49.386Z,160715194938700
"""Jen @ XqgTOswofW"" checks",2020-12-05T07:05:48.518Z,160715194851800
"""CreamPuff @ owJOiR5UW9"" checks",2020-12-05T07:05:45.766Z,160715194576700
"""joe @ To7KZmMlPh"" folds",2020-12-05T07:05:43.625Z,160715194362600
"flop:  [Q♦, K♠, 10♥]",2020-12-05T07:05:34.759Z,160715193476000
"""CreamPuff @ owJOiR5UW9"" checks",2020-12-05T07:05:33.953Z,160715193395300
"""joe @ To7KZmMlPh"" calls 20",2020-12-05T07:05:31.867Z,160715193187000
"""Tim @ OuRDJHZx-C"" calls 20",2020-12-05T07:05:30.460Z,160715193046000
"""Dan @ ZB3s47J263"" calls 20",2020-12-05T07:05:24.084Z,160715192408500
"""Linan @ PKTux6PUMb"" calls 20",2020-12-05T07:05:23.145Z,160715192314600
"""Jen @ XqgTOswofW"" calls 20",2020-12-05T07:05:22.306Z,160715192230700
"""CreamPuff @ owJOiR5UW9"" posts a big blind of 20",2020-12-05T07:05:20.576Z,160715192057809
"""joe @ To7KZmMlPh"" posts a small blind of 10",2020-12-05T07:05:20.576Z,160715192057808
"Your hand is 8♣, 2♠",2020-12-05T07:05:20.576Z,160715192057806
"Player stacks: #1 ""Tim @ OuRDJHZx-C"" (3293) | #2 ""joe @ To7KZmMlPh"" (2009) | #4 ""CreamPuff @ owJOiR5UW9"" (372) | #6 ""Jen @ XqgTOswofW"" (6090) | #7 ""Linan @ PKTux6PUMb"" (3195) | #8 ""Dan @ ZB3s47J263"" (2923)",2020-12-05T07:05:20.576Z,160715192057801
"-- starting hand #142  (No Limit Texas Hold'em) (dealer: ""Tim @ OuRDJHZx-C"") --",2020-12-05T07:05:20.576Z,160715192057800
"""Jen @ XqgTOswofW"" shows a 4♦, K♣.",2020-12-05T07:05:18.818Z,160715191881900
"-- ending hand #141 --",2020-12-05T07:05:16.924Z,160715191692502
"""Jen @ XqgTOswofW"" collected 780 from pot",2020-12-05T07:05:16.924Z,160715191692501
"Uncalled bet of 390 returned to ""Jen @ XqgTOswofW""",2020-12-05T07:05:16.924Z,160715191692500
"""CreamPuff @ owJOiR5UW9"" folds",2020-12-05T07:05:16.114Z,160715191611500
"""Linan @ PKTux6PUMb"" folds",2020-12-05T07:05:15.084Z,160715191508800
"""Jen @ XqgTOswofW"" bets 390",2020-12-05T07:05:14.240Z,160715191424100
"""CreamPuff @ owJOiR5UW9"" checks",2020-12-05T07:05:10.881Z,160715191088200
"river: K♠, 3♠, 6♦, 3♦ [K♥]",2020-12-05T07:05:04.973Z,160715190498200
"""Linan @ PKTux6PUMb"" checks",2020-12-05T07:05:04.164Z,160715190416400
"""Jen @ XqgTOswofW"" checks",2020-12-05T07:05:03.289Z,160715190329000
"""CreamPuff @ owJOiR5UW9"" checks",2020-12-05T07:05:00.591Z,160715190059200
"turn: K♠, 3♠, 6♦ [3♦]",2020-12-05T07:04:57.045Z,160715189704700
"""Tim @ OuRDJHZx-C"" folds",2020-12-05T07:04:56.239Z,160715189624000
"""Dan @ ZB3s47J263"" folds",2020-12-05T07:04:55.236Z,160715189523700
"""Linan @ PKTux6PUMb"" calls 120",2020-12-05T07:04:54.342Z,160715189434200
"""Jen @ XqgTOswofW"" calls 120",2020-12-05T07:04:53.502Z,160715189350300
"""CreamPuff @ owJOiR5UW9"" bets 120",2020-12-05T07:04:48.883Z,160715188888400
"""Tim @ OuRDJHZx-C"" checks",2020-12-05T07:04:41.511Z,160715188151200
"flop:  [K♠, 3♠, 6♦]",2020-12-05T07:04:38.121Z,160715187812200
"""Dan @ ZB3s47J263"" calls 80",2020-12-05T07:04:37.312Z,160715187731500
"""Linan @ PKTux6PUMb"" calls 80",2020-12-05T07:04:36.412Z,160715187641800
"""Jen @ XqgTOswofW"" calls 80",2020-12-05T07:04:34.202Z,160715187420300
"""CreamPuff @ owJOiR5UW9"" calls 80",2020-12-05T07:04:30.930Z,160715187093000
"""joe @ To7KZmMlPh"" folds",2020-12-05T07:04:29.380Z,160715186938100
"""Tim @ OuRDJHZx-C"" raises to 80",2020-12-05T07:04:27.056Z,160715186705700
"""Dan @ ZB3s47J263"" calls 20",2020-12-05T07:04:22.114Z,160715186211500
"""Linan @ PKTux6PUMb"" calls 20",2020-12-05T07:04:20.275Z,160715186027500
"""Jen @ XqgTOswofW"" calls 20",2020-12-05T07:04:19.329Z,160715185933000
"""CreamPuff @ owJOiR5UW9"" calls 20",2020-12-05T07:04:18.284Z,160715185828500
"""joe @ To7KZmMlPh"" posts a big blind of 20",2020-12-05T07:04:16.678Z,160715185667909
"""Tim @ OuRDJHZx-C"" posts a small blind of 10",2020-12-05T07:04:16.678Z,160715185667908
"Your hand is 6♠, Q♠",2020-12-05T07:04:16.678Z,160715185667906
"Player stacks: #1 ""Tim @ OuRDJHZx-C"" (3373) | #2 ""joe @ To7KZmMlPh"" (2029) | #4 ""CreamPuff @ owJOiR5UW9"" (572) | #6 ""Jen @ XqgTOswofW"" (5510) | #7 ""Linan @ PKTux6PUMb"" (3395) | #8 ""Dan @ ZB3s47J263"" (3003)",2020-12-05T07:04:16.678Z,160715185667901
"-- starting hand #141  (No Limit Texas Hold'em) (dealer: ""Dan @ ZB3s47J263"") --",2020-12-05T07:04:16.678Z,160715185667900
"-- ending hand #140 --",2020-12-05T07:04:09.648Z,160715184965004
"""Linan @ PKTux6PUMb"" collected 440 from pot with Two Pair, 10's & 5's (combination: 10♦, 10♣, 5♥, 5♠, A♦)",2020-12-05T07:04:09.648Z,160715184965003
"""Linan @ PKTux6PUMb"" shows a 10♦, 9♣.",2020-12-05T07:04:09.648Z,160715184965002
"""Tim @ OuRDJHZx-C"" collected 440 from pot with Two Pair, 10's & 5's (combination: 10♥, 10♣, 5♥, 5♠, A♦)",2020-12-05T07:04:09.648Z,160715184965001
"""Tim @ OuRDJHZx-C"" shows a Q♥, 10♥.",2020-12-05T07:04:09.648Z,160715184965000
"""Linan @ PKTux6PUMb"" checks",2020-12-05T07:04:08.842Z,160715184884300
"""Tim @ OuRDJHZx-C"" checks",2020-12-05T07:04:07.999Z,160715184800000
"river: 5♥, A♦, 10♣, 5♠ [6♥]",2020-12-05T07:04:01.088Z,160715184109100
"""Linan @ PKTux6PUMb"" calls 120",2020-12-05T07:04:00.276Z,160715184027700
"""Jen @ XqgTOswofW"" folds",2020-12-05T07:03:57.023Z,160715183702400
"""Tim @ OuRDJHZx-C"" bets 120",2020-12-05T07:03:53.527Z,160715183352800
"turn: 5♥, A♦, 10♣ [5♠]",2020-12-05T07:03:45.295Z,160715182529800
"""Dan @ ZB3s47J263"" folds",2020-12-05T07:03:44.488Z,160715182448900
"""Linan @ PKTux6PUMb"" calls 80",2020-12-05T07:03:43.160Z,160715182316100
"""Jen @ XqgTOswofW"" calls 80",2020-12-05T07:03:42.320Z,160715182232100
"""CreamPuff @ owJOiR5UW9"" folds",2020-12-05T07:03:40.092Z,160715182009200
"""Tim @ OuRDJHZx-C"" bets 80",2020-12-05T07:03:38.358Z,160715181835900
"""Dan @ ZB3s47J263"" checks",2020-12-05T07:03:34.415Z,160715181441700
"flop:  [5♥, A♦, 10♣]",2020-12-05T07:03:32.159Z,160715181216100
"""Dan @ ZB3s47J263"" calls 80",2020-12-05T07:03:31.349Z,160715181134900
"""Linan @ PKTux6PUMb"" calls 80",2020-12-05T07:03:30.310Z,160715181031000
"""Jen @ XqgTOswofW"" calls 80",2020-12-05T07:03:28.154Z,160715180815400
"""CreamPuff @ owJOiR5UW9"" calls 80",2020-12-05T07:03:25.788Z,160715180579100
"""Tim @ OuRDJHZx-C"" raises to 80",2020-12-05T07:03:19.859Z,160715179985900
"""Dan @ ZB3s47J263"" calls 20",2020-12-05T07:03:16.259Z,160715179626000
"""Linan @ PKTux6PUMb"" calls 20",2020-12-05T07:03:15.155Z,160715179515500
"""Jen @ XqgTOswofW"" calls 20",2020-12-05T07:03:14.303Z,160715179430400
"""CreamPuff @ owJOiR5UW9"" calls 20",2020-12-05T07:03:13.033Z,160715179303300
"""joe @ To7KZmMlPh"" folds",2020-12-05T07:03:11.590Z,160715179159100
"""Tim @ OuRDJHZx-C"" posts a big blind of 20",2020-12-05T07:03:09.782Z,160715178978309
"""Dan @ ZB3s47J263"" posts a small blind of 10",2020-12-05T07:03:09.782Z,160715178978308
"Your hand is 10♦, 9♣",2020-12-05T07:03:09.782Z,160715178978306
"Player stacks: #1 ""Tim @ OuRDJHZx-C"" (3213) | #2 ""joe @ To7KZmMlPh"" (2029) | #4 ""CreamPuff @ owJOiR5UW9"" (652) | #6 ""Jen @ XqgTOswofW"" (5670) | #7 ""Linan @ PKTux6PUMb"" (3235) | #8 ""Dan @ ZB3s47J263"" (3083)",2020-12-05T07:03:09.782Z,160715178978301
"-- starting hand #140  (No Limit Texas Hold'em) (dealer: ""Linan @ PKTux6PUMb"") --",2020-12-05T07:03:09.782Z,160715178978300
"""Linan @ PKTux6PUMb"" shows a J♣, K♦.",2020-12-05T07:03:05.099Z,160715178510000
"-- ending hand #139 --",2020-12-05T07:03:02.231Z,160715178223303
"""Tim @ OuRDJHZx-C"" shows a 6♣, 4♦.",2020-12-05T07:03:02.231Z,160715178223302
"""Jen @ XqgTOswofW"" collected 300 from pot with Pair, 9's (combination: 9♦, 9♥, A♣, J♥, 10♥)",2020-12-05T07:03:02.231Z,160715178223301
"""Jen @ XqgTOswofW"" shows a 9♦, A♣.",2020-12-05T07:03:02.231Z,160715178223300
"""Jen @ XqgTOswofW"" checks",2020-12-05T07:03:01.420Z,160715178142100
"""CreamPuff @ owJOiR5UW9"" checks",2020-12-05T07:02:59.796Z,160715177979700
"""Tim @ OuRDJHZx-C"" checks",2020-12-05T07:02:55.581Z,160715177558200
"river: 6♦, 2♦, 10♥, 9♥ [J♥]",2020-12-05T07:02:52.132Z,160715177213900
"""Jen @ XqgTOswofW"" checks",2020-12-05T07:02:51.319Z,160715177132000
"""CreamPuff @ owJOiR5UW9"" checks",2020-12-05T07:02:49.059Z,160715176906200
"""Tim @ OuRDJHZx-C"" checks",2020-12-05T07:02:47.882Z,160715176788300
"turn: 6♦, 2♦, 10♥ [9♥]",2020-12-05T07:02:46.152Z,160715176615300
"""joe @ To7KZmMlPh"" folds",2020-12-05T07:02:45.347Z,160715176534700
"""Tim @ OuRDJHZx-C"" calls 60",2020-12-05T07:02:44.468Z,160715176446900
"""Dan @ ZB3s47J263"" folds",2020-12-05T07:02:37.108Z,160715175710900
"""Linan @ PKTux6PUMb"" folds",2020-12-05T07:02:35.499Z,160715175550000
"""Jen @ XqgTOswofW"" calls 60",2020-12-05T07:02:34.640Z,160715175464100
"""CreamPuff @ owJOiR5UW9"" bets 60",2020-12-05T07:02:27.752Z,160715174775300
"""joe @ To7KZmMlPh"" checks",2020-12-05T07:02:23.833Z,160715174383300
"""Tim @ OuRDJHZx-C"" checks",2020-12-05T07:02:21.982Z,160715174198300
"""Dan @ ZB3s47J263"" checks",2020-12-05T07:02:19.663Z,160715173966400
"""Linan @ PKTux6PUMb"" checks",2020-12-05T07:02:18.274Z,160715173827500
"flop:  [6♦, 2♦, 10♥]",2020-12-05T07:02:15.213Z,160715173521500
"""Dan @ ZB3s47J263"" checks",2020-12-05T07:02:14.408Z,160715173440900
"""Linan @ PKTux6PUMb"" calls 20",2020-12-05T07:02:13.512Z,160715173351300
"""Jen @ XqgTOswofW"" calls 20",2020-12-05T07:02:11.989Z,160715173199000
"""CreamPuff @ owJOiR5UW9"" calls 20",2020-12-05T07:02:09.606Z,160715172960600
"""joe @ To7KZmMlPh"" calls 20",2020-12-05T07:02:08.699Z,160715172869900
"""Tim @ OuRDJHZx-C"" calls 20",2020-12-05T07:02:06.866Z,160715172686700
"""Dan @ ZB3s47J263"" posts a big blind of 20",2020-12-05T07:02:05.052Z,160715172505309
"""Linan @ PKTux6PUMb"" posts a small blind of 10",2020-12-05T07:02:05.052Z,160715172505308
"Your hand is J♣, K♦",2020-12-05T07:02:05.052Z,160715172505306
"Player stacks: #1 ""Tim @ OuRDJHZx-C"" (3293) | #2 ""joe @ To7KZmMlPh"" (2049) | #4 ""CreamPuff @ owJOiR5UW9"" (732) | #6 ""Jen @ XqgTOswofW"" (5450) | #7 ""Linan @ PKTux6PUMb"" (3255) | #8 ""Dan @ ZB3s47J263"" (3103)",2020-12-05T07:02:05.052Z,160715172505301
"-- starting hand #139  (No Limit Texas Hold'em) (dealer: ""Jen @ XqgTOswofW"") --",2020-12-05T07:02:05.052Z,160715172505300
"Undealt cards: J♦, Q♠, 8♠, 4♦ [K♣]",2020-12-05T07:01:59.672Z,160715171968100
"-- ending hand #138 --",2020-12-05T07:01:59.124Z,160715171912402
"""Linan @ PKTux6PUMb"" collected 600 from pot",2020-12-05T07:01:59.124Z,160715171912401
"Uncalled bet of 300 returned to ""Linan @ PKTux6PUMb""",2020-12-05T07:01:59.124Z,160715171912400
"""CreamPuff @ owJOiR5UW9"" folds",2020-12-05T07:01:58.310Z,160715171831100
"""Linan @ PKTux6PUMb"" bets 300",2020-12-05T07:01:56.814Z,160715171681500
"turn: J♦, Q♠, 8♠ [4♦]",2020-12-05T07:01:53.905Z,160715171390700
"""Jen @ XqgTOswofW"" folds",2020-12-05T07:01:53.095Z,160715171309600
"""CreamPuff @ owJOiR5UW9"" calls 150",2020-12-05T07:01:51.533Z,160715171153400
"""Dan @ ZB3s47J263"" folds",2020-12-05T07:01:47.631Z,160715170763200
"""Linan @ PKTux6PUMb"" bets 150",2020-12-05T07:01:45.416Z,160715170541700
"""Jen @ XqgTOswofW"" checks",2020-12-05T07:01:42.575Z,160715170257600
"flop:  [J♦, Q♠, 8♠]",2020-12-05T07:01:38.781Z,160715169878200
"""Jen @ XqgTOswofW"" calls 70",2020-12-05T07:01:37.964Z,160715169796500
"""CreamPuff @ owJOiR5UW9"" calls 70",2020-12-05T07:01:35.360Z,160715169536100
"""Tim @ OuRDJHZx-C"" folds",2020-12-05T07:01:31.188Z,160715169118900
"""Dan @ ZB3s47J263"" calls 70",2020-12-05T07:01:27.749Z,160715168775000
"""Linan @ PKTux6PUMb"" raises to 70",2020-12-05T07:01:25.951Z,160715168595200
"""Jen @ XqgTOswofW"" calls 20",2020-12-05T07:01:22.664Z,160715168266400
"""CreamPuff @ owJOiR5UW9"" calls 20",2020-12-05T07:01:21.811Z,160715168181200
"""joe @ To7KZmMlPh"" folds",2020-12-05T07:01:20.911Z,160715168091200
"""Tim @ OuRDJHZx-C"" calls 20",2020-12-05T07:01:20.034Z,160715168003500
"""Dan @ ZB3s47J263"" calls 20",2020-12-05T07:01:18.178Z,160715167817900
"""Linan @ PKTux6PUMb"" posts a big blind of 20",2020-12-05T07:01:16.498Z,160715167649909
"""Jen @ XqgTOswofW"" posts a small blind of 10",2020-12-05T07:01:16.498Z,160715167649908
"Your hand is 10♠, 10♦",2020-12-05T07:01:16.498Z,160715167649906
"Player stacks: #1 ""Tim @ OuRDJHZx-C"" (3313) | #2 ""joe @ To7KZmMlPh"" (2049) | #4 ""CreamPuff @ owJOiR5UW9"" (952) | #6 ""Jen @ XqgTOswofW"" (5520) | #7 ""Linan @ PKTux6PUMb"" (2875) | #8 ""Dan @ ZB3s47J263"" (3173)",2020-12-05T07:01:16.498Z,160715167649901
"-- starting hand #138  (No Limit Texas Hold'em) (dealer: ""CreamPuff @ owJOiR5UW9"") --",2020-12-05T07:01:16.498Z,160715167649900
"-- ending hand #137 --",2020-12-05T07:01:08.952Z,160715166895404
"""Linan @ PKTux6PUMb"" shows a 6♦, 9♠.",2020-12-05T07:01:08.952Z,160715166895403
"""Jen @ XqgTOswofW"" shows a 3♠, 4♥.",2020-12-05T07:01:08.952Z,160715166895402
"""Dan @ ZB3s47J263"" collected 390 from pot with Two Pair, A's & 7's (combination: A♣, A♠, 7♦, 7♥, 9♥)",2020-12-05T07:01:08.952Z,160715166895401
"""Dan @ ZB3s47J263"" shows a A♣, 8♠.",2020-12-05T07:01:08.952Z,160715166895400
"""Dan @ ZB3s47J263"" checks",2020-12-05T07:01:08.144Z,160715166814500
"""Linan @ PKTux6PUMb"" checks",2020-12-05T07:01:06.546Z,160715166654700
"""Jen @ XqgTOswofW"" checks",2020-12-05T07:01:05.701Z,160715166570100
"river: 7♦, 5♠, A♠, 7♥ [9♥]",2020-12-05T07:01:01.984Z,160715166198800
"""Jen @ XqgTOswofW"" calls 90",2020-12-05T07:01:01.178Z,160715166117800
"""CreamPuff @ owJOiR5UW9"" folds",2020-12-05T07:00:59.758Z,160715165975900
"""joe @ To7KZmMlPh"" folds",2020-12-05T07:00:58.268Z,160715165826900
"""Tim @ OuRDJHZx-C"" folds",2020-12-05T07:00:55.296Z,160715165529700
"""Dan @ ZB3s47J263"" calls 90",2020-12-05T07:00:52.014Z,160715165201500
"""Linan @ PKTux6PUMb"" bets 90",2020-12-05T07:00:49.313Z,160715164931400
"""Jen @ XqgTOswofW"" checks",2020-12-05T07:00:46.555Z,160715164655600
"""CreamPuff @ owJOiR5UW9"" checks",2020-12-05T07:00:45.135Z,160715164513600
"turn: 7♦, 5♠, A♠ [7♥]",2020-12-05T07:00:42.694Z,160715164269600
"""joe @ To7KZmMlPh"" checks",2020-12-05T07:00:41.881Z,160715164188100
"""Tim @ OuRDJHZx-C"" checks",2020-12-05T07:00:40.815Z,160715164081600
"""Dan @ ZB3s47J263"" checks",2020-12-05T07:00:38.611Z,160715163861200
"""Linan @ PKTux6PUMb"" checks",2020-12-05T07:00:37.114Z,160715163711500
"""Jen @ XqgTOswofW"" checks",2020-12-05T07:00:34.772Z,160715163477200
"""CreamPuff @ owJOiR5UW9"" checks",2020-12-05T07:00:32.730Z,160715163273100
"flop:  [7♦, 5♠, A♠]",2020-12-05T07:00:30.261Z,160715163026300
"""Jen @ XqgTOswofW"" checks",2020-12-05T07:00:29.451Z,160715162945200
"""CreamPuff @ owJOiR5UW9"" calls 20",2020-12-05T07:00:28.613Z,160715162861400
"""joe @ To7KZmMlPh"" calls 20",2020-12-05T07:00:27.025Z,160715162702600
"""Tim @ OuRDJHZx-C"" calls 20",2020-12-05T07:00:25.572Z,160715162557300
"""Dan @ ZB3s47J263"" calls 20",2020-12-05T07:00:23.874Z,160715162387400
"""Linan @ PKTux6PUMb"" calls 20",2020-12-05T07:00:22.361Z,160715162236100
"""Jen @ XqgTOswofW"" posts a big blind of 20",2020-12-05T07:00:20.255Z,160715162025609
"""CreamPuff @ owJOiR5UW9"" posts a small blind of 10",2020-12-05T07:00:20.255Z,160715162025608
"Your hand is 6♦, 9♠",2020-12-05T07:00:20.255Z,160715162025606
"Player stacks: #1 ""Tim @ OuRDJHZx-C"" (3333) | #2 ""joe @ To7KZmMlPh"" (2069) | #4 ""CreamPuff @ owJOiR5UW9"" (972) | #6 ""Jen @ XqgTOswofW"" (5630) | #7 ""Linan @ PKTux6PUMb"" (2985) | #8 ""Dan @ ZB3s47J263"" (2893)",2020-12-05T07:00:20.255Z,160715162025601
"-- starting hand #137  (No Limit Texas Hold'em) (dealer: ""joe @ To7KZmMlPh"") --",2020-12-05T07:00:20.255Z,160715162025600
"""Dan @ ZB3s47J263"" shows a A♦, 5♦.",2020-12-05T07:00:18.296Z,160715161829600
"-- ending hand #136 --",2020-12-05T07:00:16.633Z,160715161663401
"""Dan @ ZB3s47J263"" collected 240 from pot",2020-12-05T07:00:16.633Z,160715161663400
"""Jen @ XqgTOswofW"" folds",2020-12-05T07:00:15.824Z,160715161582400
"river: 8♠, 2♠, 4♦, 2♣ [6♣]",2020-12-05T07:00:07.794Z,160715160779700
"""Dan @ ZB3s47J263"" checks",2020-12-05T07:00:06.974Z,160715160697500
"""Jen @ XqgTOswofW"" checks",2020-12-05T07:00:05.911Z,160715160591200
"turn: 8♠, 2♠, 4♦ [2♣]",2020-12-05T07:00:03.426Z,160715160342800
"""CreamPuff @ owJOiR5UW9"" folds",2020-12-05T07:00:02.599Z,160715160260000
"""joe @ To7KZmMlPh"" folds",2020-12-05T07:00:00.068Z,160715160006900
"""Tim @ OuRDJHZx-C"" folds",2020-12-05T06:59:59.152Z,160715159915300
"""Dan @ ZB3s47J263"" calls 60",2020-12-05T06:59:55.960Z,160715159596100
"""Linan @ PKTux6PUMb"" folds",2020-12-05T06:59:54.774Z,160715159477500
"""Jen @ XqgTOswofW"" bets 60",2020-12-05T06:59:47.933Z,160715158793300
"""CreamPuff @ owJOiR5UW9"" checks",2020-12-05T06:59:42.755Z,160715158275600
"""joe @ To7KZmMlPh"" checks",2020-12-05T06:59:40.914Z,160715158091500
"flop:  [8♠, 2♠, 4♦]",2020-12-05T06:59:39.149Z,160715157915000
"""CreamPuff @ owJOiR5UW9"" checks",2020-12-05T06:59:38.342Z,160715157834300
"""joe @ To7KZmMlPh"" calls 20",2020-12-05T06:59:36.676Z,160715157667900
"""Tim @ OuRDJHZx-C"" calls 20",2020-12-05T06:59:35.130Z,160715157513100
"""Dan @ ZB3s47J263"" calls 20",2020-12-05T06:59:33.486Z,160715157348700
"""Linan @ PKTux6PUMb"" calls 20",2020-12-05T06:59:32.557Z,160715157255800
"""Jen @ XqgTOswofW"" calls 20",2020-12-05T06:59:31.717Z,160715157171800
"""CreamPuff @ owJOiR5UW9"" posts a big blind of 20",2020-12-05T06:59:30.566Z,160715157056709
"""joe @ To7KZmMlPh"" posts a small blind of 10",2020-12-05T06:59:30.566Z,160715157056708
"Your hand is 6♦, 3♦",2020-12-05T06:59:30.566Z,160715157056706
"Player stacks: #1 ""Tim @ OuRDJHZx-C"" (3353) | #2 ""joe @ To7KZmMlPh"" (2089) | #4 ""CreamPuff @ owJOiR5UW9"" (992) | #6 ""Jen @ XqgTOswofW"" (5710) | #7 ""Linan @ PKTux6PUMb"" (3005) | #8 ""Dan @ ZB3s47J263"" (2733)",2020-12-05T06:59:30.566Z,160715157056701
"-- starting hand #136  (No Limit Texas Hold'em) (dealer: ""Tim @ OuRDJHZx-C"") --",2020-12-05T06:59:30.566Z,160715157056700
"""CreamPuff @ owJOiR5UW9"" shows a 10♦, 2♥.",2020-12-05T06:59:26.735Z,160715156673500
"-- ending hand #135 --",2020-12-05T06:59:23.040Z,160715156304103
